28.6652, 1997, Jun Average, Tanzania, United Republic of, TZA
6.76379, 1997, Jul Average, Tanzania, United Republic of, TZA
4.08814, 1997, Aug Average, Tanzania, United Republic of, TZA
3.1552, 1997, Sep Average, Tanzania, United Republic of, TZA
61.6584, 1997, Oct Average, Tanzania, United Republic of, TZA
152.23, 1997, Nov Average, Tanzania, United Republic of, TZA
267.428, 1997, Dec Average, Tanzania, United Republic of, TZA
258.534, 1998, Jan Average, Tanzania, United Republic of, TZA
184.91, 1998, Feb Average, Tanzania, United Republic of, TZA
153.761, 1998, Mar Average, Tanzania, United Republic of, TZA
195.798, 1998, Apr Average, Tanzania, United Republic of, TZA
65.2294, 1998, May Average, Tanzania, United Republic of, TZA
11.1376, 1998, Jun Average, Tanzania, United Republic of, TZA
3.74077, 1998, Jul Average, Tanzania, United Republic of, TZA
4.33337, 1998, Aug Average, Tanzania, United Republic of, TZA
14.9856, 1998, Sep Average, Tanzania, United Republic of, TZA
23.9682, 1998, Oct Average, Tanzania, United Republic of, TZA
44.6506, 1998, Nov Average, Tanzania, United Republic of, TZA
52.1769, 1998, Dec Average, Tanzania, United Republic of, TZA
158.396, 1999, Jan Average, Tanzania, United Republic of, TZA
78.6559, 1999, Feb Average, Tanzania, United Republic of, TZA
263.679, 1999, Mar Average, Tanzania, United Republic of, TZA
167.51, 1999, Apr Average, Tanzania, United Republic of, TZA
38.9683, 1999, May Average, Tanzania, United Republic of, TZA
21.9958, 1999, Jun Average, Tanzania, United Republic of, TZA
10.1546, 1999, Jul Average, Tanzania, United Republic of, TZA
13.9779, 1999, Aug Average, Tanzania, United Republic of, TZA
13.8494, 1999, Sep Average, Tanzania, United Republic of, TZA
17.2308, 1999, Oct Average, Tanzania, United Republic of, TZA
102.748, 1999, Nov Average, Tanzania, United Republic of, TZA
99.742, 1999, Dec Average, Tanzania, United Republic of, TZA
87.5101, 2000, Jan Average, Tanzania, United Republic of, TZA
76.1479, 2000, Feb Average, Tanzania, United Republic of, TZA
183.653, 2000, Mar Average, Tanzania, United Republic of, TZA
104.61, 2000, Apr Average, Tanzania, United Republic of, TZA
38.0731, 2000, May Average, Tanzania, United Republic of, TZA
18.1722, 2000, Jun Average, Tanzania, United Republic of, TZA
4.52536, 2000, Jul Average, Tanzania, United Republic of, TZA
12.235, 2000, Aug Average, Tanzania, United Republic of, TZA
8.34864, 2000, Sep Average, Tanzania, United Republic of, TZA
21.0767, 2000, Oct Average, Tanzania, United Republic of, TZA
142.386, 2000, Nov Average, Tanzania, United Republic of, TZA
198.603, 2000, Dec Average, Tanzania, United Republic of, TZA
226.168, 2001, Jan Average, Tanzania, United Republic of, TZA
116.949, 2001, Feb Average, Tanzania, United Republic of, TZA
158.833, 2001, Mar Average, Tanzania, United Republic of, TZA
130.489, 2001, Apr Average, Tanzania, United Republic of, TZA
40.3075, 2001, May Average, Tanzania, United Republic of, TZA
13.8067, 2001, Jun Average, Tanzania, United Republic of, TZA
7.32159, 2001, Jul Average, Tanzania, United Republic of, TZA
7.55591, 2001, Aug Average, Tanzania, United Republic of, TZA
17.2088, 2001, Sep Average, Tanzania, United Republic of, TZA
30.5498, 2001, Oct Average, Tanzania, United Republic of, TZA
56.6257, 2001, Nov Average, Tanzania, United Republic of, TZA
134.795, 2001, Dec Average, Tanzania, United Republic of, TZA
212.903, 2002, Jan Average, Tanzania, United Republic of, TZA
127, 2002, Feb Average, Tanzania, United Republic of, TZA
237.909, 2002, Mar Average, Tanzania, United Republic of, TZA
166.945, 2002, Apr Average, Tanzania, United Republic of, TZA
47.4094, 2002, May Average, Tanzania, United Republic of, TZA
8.62647, 2002, Jun Average, Tanzania, United Republic of, TZA
3.28928, 2002, Jul Average, Tanzania, United Republic of, TZA
12.9645, 2002, Aug Average, Tanzania, United Republic of, TZA
18.822, 2002, Sep Average, Tanzania, United Republic of, TZA
36.4127, 2002, Oct Average, Tanzania, United Republic of, TZA
95.9263, 2002, Nov Average, Tanzania, United Republic of, TZA
178.081, 2002, Dec Average, Tanzania, United Republic of, TZA
137.881, 2003, Jan Average, Tanzania, United Republic of, TZA
94.2762, 2003, Feb Average, Tanzania, United Republic of, TZA
125.169, 2003, Mar Average, Tanzania, United Republic of, TZA
112.749, 2003, Apr Average, Tanzania, United Republic of, TZA
81.4682, 2003, May Average, Tanzania, United Republic of, TZA
10.6031, 2003, Jun Average, Tanzania, United Republic of, TZA
2.41171, 2003, Jul Average, Tanzania, United Republic of, TZA
5.14858, 2003, Aug Average, Tanzania, United Republic of, TZA
14.3118, 2003, Sep Average, Tanzania, United Republic of, TZA
31.1167, 2003, Oct Average, Tanzania, United Republic of, TZA
37.9661, 2003, Nov Average, Tanzania, United Republic of, TZA
117.996, 2003, Dec Average, Tanzania, United Republic of, TZA
144.773, 2004, Jan Average, Tanzania, United Republic of, TZA
179.85, 2004, Feb Average, Tanzania, United Republic of, TZA
150.068, 2004, Mar Average, Tanzania, United Republic of, TZA
169.92, 2004, Apr Average, Tanzania, United Republic of, TZA
10.3264, 2004, May Average, Tanzania, United Republic of, TZA
10.0208, 2004, Jun Average, Tanzania, United Republic of, TZA
0.96025, 2004, Jul Average, Tanzania, United Republic of, TZA
3.14984, 2004, Aug Average, Tanzania, United Republic of, TZA
51.5303, 2004, Sep Average, Tanzania, United Republic of, TZA
39.4939, 2004, Oct Average, Tanzania, United Republic of, TZA
100.524, 2004, Nov Average, Tanzania, United Republic of, TZA
175.496, 2004, Dec Average, Tanzania, United Republic of, TZA
165.341, 2005, Jan Average, Tanzania, United Republic of, TZA
103.738, 2005, Feb Average, Tanzania, United Republic of, TZA
158.271, 2005, Mar Average, Tanzania, United Republic of, TZA
102.109, 2005, Apr Average, Tanzania, United Republic of, TZA
69.9653, 2005, May Average, Tanzania, United Republic of, TZA
3.75021, 2005, Jun Average, Tanzania, United Republic of, TZA
2.01755, 2005, Jul Average, Tanzania, United Republic of, TZA
7.02827, 2005, Aug Average, Tanzania, United Republic of, TZA
11.8336, 2005, Sep Average, Tanzania, United Republic of, TZA
27.4307, 2005, Oct Average, Tanzania, United Republic of, TZA
35.3533, 2005, Nov Average, Tanzania, United Republic of, TZA
70.1465, 2005, Dec Average, Tanzania, United Republic of, TZA
91.5708, 2006, Jan Average, Tanzania, United Republic of, TZA
128.079, 2006, Feb Average, Tanzania, United Republic of, TZA
174.91, 2006, Mar Average, Tanzania, United Republic of, TZA
193.081, 2006, Apr Average, Tanzania, United Republic of, TZA
85.2088, 2006, May Average, Tanzania, United Republic of, TZA
15.4708, 2006, Jun Average, Tanzania, United Republic of, TZA
10.6532, 2006, Jul Average, Tanzania, United Republic of, TZA
9.64865, 2006, Aug Average, Tanzania, United Republic of, TZA
21.0038, 2006, Sep Average, Tanzania, United Republic of, TZA
34.4825, 2006, Oct Average, Tanzania, United Republic of, TZA
166.723, 2006, Nov Average, Tanzania, United Republic of, TZA
267.868, 2006, Dec Average, Tanzania, United Republic of, TZA
175.283, 2007, Jan Average, Tanzania, United Republic of, TZA
133.551, 2007, Feb Average, Tanzania, United Republic of, TZA
155.902, 2007, Mar Average, Tanzania, United Republic of, TZA
107.449, 2007, Apr Average, Tanzania, United Republic of, TZA
51.0482, 2007, May Average, Tanzania, United Republic of, TZA
10.1644, 2007, Jun Average, Tanzania, United Republic of, TZA
8.81773, 2007, Jul Average, Tanzania, United Republic of, TZA
14.2634, 2007, Aug Average, Tanzania, United Republic of, TZA
29.5605, 2007, Sep Average, Tanzania, United Republic of, TZA
28.7704, 2007, Oct Average, Tanzania, United Republic of, TZA
53.5827, 2007, Nov Average, Tanzania, United Republic of, TZA
155.915, 2007, Dec Average, Tanzania, United Republic of, TZA
138.212, 2008, Jan Average, Tanzania, United Republic of, TZA
175.797, 2008, Feb Average, Tanzania, United Republic of, TZA
202.854, 2008, Mar Average, Tanzania, United Republic of, TZA
114.797, 2008, Apr Average, Tanzania, United Republic of, TZA
32.4938, 2008, May Average, Tanzania, United Republic of, TZA
6.61048, 2008, Jun Average, Tanzania, United Republic of, TZA
2.9346, 2008, Jul Average, Tanzania, United Republic of, TZA
2.46052, 2008, Aug Average, Tanzania, United Republic of, TZA
19.7502, 2008, Sep Average, Tanzania, United Republic of, TZA
50.5761, 2008, Oct Average, Tanzania, United Republic of, TZA
94.8757, 2008, Nov Average, Tanzania, United Republic of, TZA
101.559, 2008, Dec Average, Tanzania, United Republic of, TZA
133.061, 2009, Jan Average, Tanzania, United Republic of, TZA
164.79, 2009, Feb Average, Tanzania, United Republic of, TZA
186.286, 2009, Mar Average, Tanzania, United Republic of, TZA
102.721, 2009, Apr Average, Tanzania, United Republic of, TZA
37.1435, 2009, May Average, Tanzania, United Republic of, TZA
7.93347, 2009, Jun Average, Tanzania, United Republic of, TZA
1.95245, 2009, Jul Average, Tanzania, United Republic of, TZA
1.74205, 2009, Aug Average, Tanzania, United Republic of, TZA
13.8697, 2009, Sep Average, Tanzania, United Republic of, TZA
35.7358, 2009, Oct Average, Tanzania, United Republic of, TZA
116.667, 2009, Nov Average, Tanzania, United Republic of, TZA
171.663, 2009, Dec Average, Tanzania, United Republic of, TZA
140.494, 2010, Jan Average, Tanzania, United Republic of, TZA
161.691, 2010, Feb Average, Tanzania, United Republic of, TZA
178.768, 2010, Mar Average, Tanzania, United Republic of, TZA
129.512, 2010, Apr Average, Tanzania, United Republic of, TZA
63.171, 2010, May Average, Tanzania, United Republic of, TZA
22.2705, 2010, Jun Average, Tanzania, United Republic of, TZA
1.39221, 2010, Jul Average, Tanzania, United Republic of, TZA
2.94437, 2010, Aug Average, Tanzania, United Republic of, TZA
9.76374, 2010, Sep Average, Tanzania, United Republic of, TZA
16.5239, 2010, Oct Average, Tanzania, United Republic of, TZA
49.1624, 2010, Nov Average, Tanzania, United Republic of, TZA
116.087, 2010, Dec Average, Tanzania, United Republic of, TZA
101.776, 2011, Jan Average, Tanzania, United Republic of, TZA
138.434, 2011, Feb Average, Tanzania, United Republic of, TZA
176.072, 2011, Mar Average, Tanzania, United Republic of, TZA
131.283, 2011, Apr Average, Tanzania, United Republic of, TZA
51.7223, 2011, May Average, Tanzania, United Republic of, TZA
21.9333, 2011, Jun Average, Tanzania, United Republic of, TZA
3.85908, 2011, Jul Average, Tanzania, United Republic of, TZA
7.1308, 2011, Aug Average, Tanzania, United Republic of, TZA
42.1947, 2011, Sep Average, Tanzania, United Republic of, TZA
41.077, 2011, Oct Average, Tanzania, United Republic of, TZA
120.808, 2011, Nov Average, Tanzania, United Republic of, TZA
207.473, 2011, Dec Average, Tanzania, United Republic of, TZA
101.814, 2012, Jan Average, Tanzania, United Republic of, TZA
91.5278, 2012, Feb Average, Tanzania, United Republic of, TZA
104.581, 2012, Mar Average, Tanzania, United Republic of, TZA
141.309, 2012, Apr Average, Tanzania, United Republic of, TZA
42.0875, 2012, May Average, Tanzania, United Republic of, TZA
19.6995, 2012, Jun Average, Tanzania, United Republic of, TZA
2.34608, 2012, Jul Average, Tanzania, United Republic of, TZA
11.6461, 2012, Aug Average, Tanzania, United Republic of, TZA
9.80791, 2012, Sep Average, Tanzania, United Republic of, TZA
33.4241, 2012, Oct Average, Tanzania, United Republic of, TZA
80.8135, 2012, Nov Average, Tanzania, United Republic of, TZA
158.005, 2012, Dec Average, Tanzania, United Republic of, TZA
157.643, 2013, Jan Average, Tanzania, United Republic of, TZA
75.0285, 2013, Feb Average, Tanzania, United Republic of, TZA
222.333, 2013, Mar Average, Tanzania, United Republic of, TZA
168.927, 2013, Apr Average, Tanzania, United Republic of, TZA
36.5546, 2013, May Average, Tanzania, United Republic of, TZA
2.76643, 2013, Jun Average, Tanzania, United Republic of, TZA
2.39679, 2013, Jul Average, Tanzania, United Republic of, TZA
7.64686, 2013, Aug Average, Tanzania, United Republic of, TZA
33.4599, 2013, Sep Average, Tanzania, United Republic of, TZA
23.8706, 2013, Oct Average, Tanzania, United Republic of, TZA
91.767, 2013, Nov Average, Tanzania, United Republic of, TZA
168.722, 2013, Dec Average, Tanzania, United Republic of, TZA
150.547, 2014, Jan Average, Tanzania, United Republic of, TZA
134.483, 2014, Feb Average, Tanzania, United Republic of, TZA
148.209, 2014, Mar Average, Tanzania, United Republic of, TZA
132.472, 2014, Apr Average, Tanzania, United Republic of, TZA
53.1271, 2014, May Average, Tanzania, United Republic of, TZA
7.91846, 2014, Jun Average, Tanzania, United Republic of, TZA
2.51411, 2014, Jul Average, Tanzania, United Republic of, TZA
8.64984, 2014, Aug Average, Tanzania, United Republic of, TZA
36.9189, 2014, Sep Average, Tanzania, United Republic of, TZA
55.4904, 2014, Oct Average, Tanzania, United Republic of, TZA
115.517, 2014, Nov Average, Tanzania, United Republic of, TZA
157.503, 2014, Dec Average, Tanzania, United Republic of, TZA
148.346, 2015, Jan Average, Tanzania, United Republic of, TZA
69.1067, 2015, Feb Average, Tanzania, United Republic of, TZA
102.202, 2015, Mar Average, Tanzania, United Republic of, TZA
196.944, 2015, Apr Average, Tanzania, United Republic of, TZA
83.1896, 2015, May Average, Tanzania, United Republic of, TZA
18.0186, 2015, Jun Average, Tanzania, United Republic of, TZA
1.06265, 2015, Jul Average, Tanzania, United Republic of, TZA
1.72711, 2015, Aug Average, Tanzania, United Republic of, TZA
14.1884, 2015, Sep Average, Tanzania, United Republic of, TZA
43.3486, 2015, Oct Average, Tanzania, United Republic of, TZA
126.78, 2015, Nov Average, Tanzania, United Republic of, TZA
188.534, 2015, Dec Average, Tanzania, United Republic of, TZA
247.081, 2016, Jan Average, Tanzania, United Republic of, TZA
162.16, 2016, Feb Average, Tanzania, United Republic of, TZA
159.638, 2016, Mar Average, Tanzania, United Republic of, TZA
236.497, 2016, Apr Average, Tanzania, United Republic of, TZA
50.1026, 2016, May Average, Tanzania, United Republic of, TZA
13.2669, 2016, Jun Average, Tanzania, United Republic of, TZA
14.2868, 2016, Jul Average, Tanzania, United Republic of, TZA
7.18494, 2016, Aug Average, Tanzania, United Republic of, TZA
15.7348, 2016, Sep Average, Tanzania, United Republic of, TZA
19.0238, 2016, Oct Average, Tanzania, United Republic of, TZA
67.3688, 2016, Nov Average, Tanzania, United Republic of, TZA
143.873, 2016, Dec Average, Tanzania, United Republic of, TZA
